"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","sex","age","educ","income","fruitsperday","vegsperday","ffq_veg_tomatoes","ffq_veg_stringbeans","ffq_veg_beans","ffq_veg_peas","ffq_veg_broccoli","ffq_veg_cauliflower","ffq_veg_cabbage","ffq_veg_carrot","ffq_veg_squash","ffq_veg_sweetpotatoes","ffq_veg_check6","ffq_veg_kale","ffq_veg_spinach","ffq_veg_lettuce","ffq_veg_celery","ffq_veg_peppers","ffq_veg_onions","ffq_veg_asparagus","ffq_veg_mushrooms","FFQ_F_grapes","ffq_fruit_bananas","ffq_fruit_canaloupe","ffq_fruit_avocado","ffq_fruit_apples","ffq_fruit_pears","ffq_fruit_oranges","ffq_fruit_grapefruit","ffq_fruit_check30","ffq_fruit_strawberries","ffq_fruit_blueberries","ffq_fruit_peaches","ffq_fruit_plums","ffq_time_First.Click","ffq_time_Last.Click","ffq_time_Page.Submit","ffq_time_Click.Count","e01","e02","e03","e04","e05","e06r","e07r","e08","check_2","m01","m02","m03","m04","m05","m06","m07r","check_7","comments","assignmentId","hitId","workerId","surv_time","surv_pay"
"2019-02-26 09:00:46","2019-02-26 09:03:26","0","70a48b766d824d08","100","159","1","2019-02-26 09:03:26","R_2xDefPJoABXoL0X","","","","",41.27,-96.04,"anonymous","EN","0","32","6","6","1","2.5","1","1","1","1","1","1","1","1","1","6","6","1","1","6","1","1","16","6","6","1","16","1","6","6","1","6","1","30","2.5","2.5","2.5","2.5","1.056","25.385","26.229","28","4","5","4","6","5","6","3","6","2","5","5","5","5","5","2","6","7","no","3ZQIG0FLQEGUSNC7Q758YVAI9F6VWL","3S4TINXCC0N4SG7542IWS580JUKBOS","5994785de8349134","8","1.10"
"2019-02-26 09:00:51","2019-02-26 09:03:37","0","aaec7052f1a3107a","100","166","1","2019-02-26 09:03:38","R_3ELwTJ0PgYxWM4l","","","","",33.87,-84.34,"anonymous","EN","1","27","6","5","1","2","1","1","16","1","6","6","1","6","2.5","1","6","1","2.5","16","1","1","1","6","1","16","1","1","1","6","1","1","1","30","16","1","1","1","0","0","40.192","0","6","7","6","4","6","5","3","5","2","6","5","5","2","2","4","5","7","No","3LS2AMNW5FQUI67ODMKOBEYOPLSQOA","3S4TINXCC0N4SG7542IWS580JUKBOS","5bec32c75cf47724","8","1.10"
"2019-02-26 09:01:05","2019-02-26 09:03:41","0","042f2ee7efdc772f","100","155","1","2019-02-26 09:03:42","R_3gU6Mt0bpztqtPy","","","","",35.33,-118.98,"anonymous","EN","1","37","5","4","1","1","2.5","1","6","2.5","6","2.5","2.5","2.5","2.5","6","2.5","1","2.5","1","2.5","2.5","2.5","2.5","2.5","2.5","1","1","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","2.5","1.443","20.247","21.178","26","5","5","4","4","5","6","6","3","2","2","5","4","2","1","2","6","7","","3X66WABAJWIEJSKORSVKTXWBO7O3GY","3S4TINXCC0N4SG7542IWS580JUKBOS","1afe672bee49fc92","8","1.10"
"2019-02-26 09:01:03","2019-02-26 09:04:09","0","9129d49394d3e265","100","186","1","2019-02-26 09:04:10","R_2EFT32QfpNupN4u","","","","",41.63,-91.51,"anonymous","EN","1","30","6","5","2","1","1","2.5","2.5","1","2.5","1","1","2.5","1","1","6","1","1","1","1","1","1","1","1","1","2.5","1","1","1","1","2.5","1","30","2.5","2.5","1","1","2.947","28.601","29.754","27","5","5","6","5","5","4","5","6","2","3","5","5","6","6","6","5","7","I need to eat more fruits and vegetables most likely","3HHRAGRYX85OQ7Q2WK92PJ8ZFLOO9M","3S4TINXCC0N4SG7542IWS580JUKBOS","47ba4e3aedb29dae","8","1.10"
"2019-02-26 09:00:46","2019-02-26 09:04:10","0","68fc92069b13db67","100","203","1","2019-02-26 09:04:10","R_se4JnIWlQWCAAq5","","","","",41.35,-86.3,"anonymous","EN","0","35","4","6","0.25","0.5","1","1","1","1","1","1","1","2.5","1","1","6","6","2.5","2.5","1","1","1","1","1","1","1","1","1","1","1","1","1","30","2.5","2.5","1","1","1.203","23.899","24.413","26","4","3","5","3","5","3","3","5","2","4","4","3","4","4","3","3","7","","38SKSKU7R1X9VNG8NMZNAV38366LIL","3S4TINXCC0N4SG7542IWS580JUKBOS","4f3079589e488345","8","1.10"
"2019-02-26 09:01:46","2019-02-26 09:04:10","0","2e604ef452fb660e","100","144","1","2019-02-26 09:04:10","R_3NESRD0IBLrRbIs","","","","",11.65,78.17,"anonymous","EN","1","40","4","1","6","6","30","16","2.5","30","16","2.5","1","30","6","16","16","6","30","16","30","2.5","1","30","6","6","16","30","16","6","6","30","2.5","6","2.5","30","16","16","8.672","27.409","27.782","28","7","6","6","7","6","1","1","7","6","7","7","6","6","6","6","1","7","good","33SA9F9TRXUDQCQLVHGYYRMW9K3WEG","3S4TINXCC0N4SG7542IWS580JUKBOS","a76f1641cb6bac64","8","1.10"
"2019-02-26 09:01:02","2019-02-26 09:04:11","0","1d99f677df258b70","100","188","1","2019-02-26 09:04:11","R_1EYdcnZwxKnIXsR","","","","",41.9,-87.94,"anonymous","EN","1","32","4","4","2","1","6","6","16","2.5","16","1","1","6","1","2.5","6","6","16","16","2.5","2.5","16","16","1","16","16","1","2.5","6","1","6","1","30","6","16","2.5","1","1.236","24.985","25.728","29","2","4","3","5","4","2","2","6","2","3","5","3","3","5","3","4","7","No, thank you.","3IUZPWIU1O7GCCIVR3R1WMZ1THZWK0","3S4TINXCC0N4SG7542IWS580JUKBOS","39f0661d63d39bf8","8","1.10"
"2019-02-26 09:00:47","2019-02-26 09:04:19","0","f93eac32fa6537cb","100","212","1","2019-02-26 09:04:20","R_1onbQcEWRFQWGxq","","","","",38.98,-77.37,"anonymous","EN","1","42","2","4","0.5","0.5","2.5","1","1","1","6","1","1","2.5","1","1","6","1","1","16","1","1","2.5","1","1","1","30","1","1","1","1","6","1","30","1","1","1","1","1.588","30.232","30.928","28","5","6","6","5","6","6","2","6","2","6","6","3","4","5","6","4","7","","3DYGAII7PL8C36JPSMX30E3EZQOQPR","3S4TINXCC0N4SG7542IWS580JUKBOS","62685d1f5e621f66","8","1.10"
"2019-02-26 09:00:54","2019-02-26 09:04:21","0","5af0816eb2898983","100","207","1","2019-02-26 09:04:21","R_1QrBaHz9dRFXc9X","","","","",40.13,-85.65,"anonymous","EN","0","41","4","6","1","0.25","1","1","2.5","1","1","1","1","1","1","1","6","1","1","2.5","1","6","16","1","1","2.5","6","1","1","1","1","1","1","30","2.5","1","1","1","10.707","32.163","32.823","26","2","6","2","4","4","4","1","5","2","1","3","1","3","1","2","1","7","no","31QTRG6Q2TDLC8ABJWEXD06GYZ5PYT","3S4TINXCC0N4SG7542IWS580JUKBOS","d98416714e55eeb1","8","1.10"
"2019-02-26 09:00:44","2019-02-26 09:04:22","0","b27b5feacdeb026c","100","217","1","2019-02-26 09:04:22","R_1IgevdDa8WEitEN","","","","",36.95,-76.25,"anonymous","EN","1","24","4","3","0.25","1","2.5","1","1","1","2.5","1","6","1","1","1","6","1","6","1","1","1","2.5","2.5","2.5","1","1","1","2.5","1","1","1","1","30","1","1","1","1","2.343","26.901","27.598","29","4","5","6","6","3","6","5","3","2","4","6","2","6","5","3","3","7","","3M1CVSFP6055G2DN33F6AJEJ04OQAB","3S4TINXCC0N4SG7542IWS580JUKBOS","3adab02576fc720e","8","1.10"
"2019-02-26 09:00:59","2019-02-26 09:04:22","0","227eeea4e5c557ac","100","203","1","2019-02-26 09:04:22","R_CghvVsFhObhB4Ix","","","","",41.68,-88.14,"anonymous","EN","1","41","4","5","2","1.5","16","2.5","2.5","2.5","2.5","2.5","1","6","2.5","2.5","6","2.5","6","6","2.5","6","6","1","6","2.5","30","1","2.5","6","1","2.5","1","30","2.5","2.5","2.5","1","3.392","25.056","25.389","27","5","5","6","6","5","6","3","5","2","5","5","5","5","5","5","5","7","Thank you!","37Z929RLG98M8ER917VS0OJC6HUTSO","3S4TINXCC0N4SG7542IWS580JUKBOS","7cd7d94d961cfd98","8","1.10"
"2019-02-26 09:00:43","2019-02-26 09:04:27","0","153a393cd824f0ce","100","223","1","2019-02-26 09:04:27","R_1EZDWRFjVEfoEHZ","","","","",39.77,-89.69,"anonymous","EN","1","27","7","4","3","3","1","1","1","1","6","6","1","2.5","6","1","6","1","2.5","16","1","1","2.5","2.5","1","2.5","6","1","1","2.5","1","1","1","30","16","16","1","1","2.959","27.958","28.328","27","5","5","6","5","5","7","7","3","2","7","7","4","5","7","5","6","7","","333U7HK6I9FMSMCMSNMZ3JA37CTJDF","3S4TINXCC0N4SG7542IWS580JUKBOS","beb0d9c4a6586fdd","8","1.10"
"2019-02-26 09:00:42","2019-02-26 09:04:29","0","9e6f6a0547e3f10b","100","226","1","2019-02-26 09:04:29","R_1JUu2aBNMJN8vXs","","","","",29.29,-81.09,"anonymous","EN","1","27","2","2","2.5","1.5","16","1","6","16","16","2.5","2.5","6","1","6","6","2.5","16","2.5","2.5","2.5","16","1","2.5","16","16","1","2.5","2.5","2.5","2.5","1","30","2.5","2.5","1","1","1.548","29.516","33.593","26","5","5","5","5","6","6","5","5","2","5","6","5","4","6","5","5","7","","30ZX6P7VF8VZPCE6VY2I70JZAL4J26","3S4TINXCC0N4SG7542IWS580JUKBOS","3f28d39efcf2b701","8","1.10"
"2019-02-26 09:00:51","2019-02-26 09:04:31","0","ce1a367ab3499c91","100","219","1","2019-02-26 09:04:32","R_1FqRSNRdzSPs33B","","","","",40.06,-86.02,"anonymous","EN","1","26","2","2","0.25","0.25","2.5","1","2.5","1","1","1","1","2.5","1","1","6","1","1","1","1","2.5","2.5","1","1","1","1","1","1","2.5","1","1","1","30","1","1","1","1","1.064","26.16","27.594","34","4","5","4","4","4","3","5","4","2","2","2","2","5","2","2","2","7","","3UWN2HHPUY5OD1MP4B9GRPDKHZ8NSH","3S4TINXCC0N4SG7542IWS580JUKBOS","a97e1a7de7606c09","8","1.10"
"2019-02-26 09:01:23","2019-02-26 09:04:34","0","f1dc05a281bc186f","100","190","1","2019-02-26 09:04:34","R_2OHFuUJrv4TNj7l","","","","",33.39,-111.92,"anonymous","EN","1","26","2","3","2","4","1","1","1","1","1","1","2.5","2.5","1","2.5","1","2.5","6","6","6","6","16","6","16","6","16","1","16","16","1","16","1","30","16","16","1","1","1.445","30.309","31.102","28","4","4","7","4","7","4","2","7","2","5","4","5","5","5","4","3","7","","35DR22AR5DKP5EFEG2VOHJW6RXK3XQ","3S4TINXCC0N4SG7542IWS580JUKBOS","df2dcc7ff8d07739","8","1.10"
"2019-02-26 09:01:12","2019-02-26 09:04:38","0","cf4cd42e5a10a73a","100","206","1","2019-02-26 09:04:39","R_2q1N2GalwcItHqc","","","","",43.64,-84.27,"anonymous","EN","1","38","6","4","2","2","1","2.5","2.5","2.5","6","1","1","30","1","1","6","1","1","16","6","16","1","1","1","6","16","2.5","1","16","2.5","2.5","1","30","30","2.5","2.5","1","2.63","32.807","33.358","26","3","6","5","5","6","5","4","4","2","6","5","5","3","3","3","3","7","no","3LS2AMNW5FQUI67ODMKOBEYOPLSOQ8","3S4TINXCC0N4SG7542IWS580JUKBOS","520c63a3b9e5f3a2","8","1.10"
"2019-02-26 09:01:20","2019-02-26 09:04:39","0","8465f146d43d630d","100","198","1","2019-02-26 09:04:39","R_2BfaRKaHJXMGunJ","","","","",35.99,-83.96,"anonymous","EN","0","31","4","4","2","2","2.5","2.5","16","2.5","6","6","6","16","6","2.5","6","16","16","16","6","30","30","1","1","6","16","2.5","1","16","2.5","2.5","1","30","16","6","1","1","8.562","29.461","30.278","29","5","5","6","4","6","4","3","4","2","4","6","5","7","6","6","6","7","","3GD6L00D3SXI1Z2VFRFWI91BM9M1MC","3S4TINXCC0N4SG7542IWS580JUKBOS","965480db6eee76ed","8","1.10"
